Site,Quadrat,Quadrat_2,Category,Species,Lat,Long,Elevation (m),Weather,Date,Error (Cm/m),C_CW,H_CW,C_N,H_N,C_Forbs,C_SD,C_Litter,C_Rock,C_BG,C_Shrub,C_Shrub_2,H_Shrub,H_Shrub_2,C_Moss,LAI,B_Crested_m2,B_Native_m2,B_Grass_m2,B_Dead_m2,B_Forbs_m2,B_Shrub_m2,B_Total_m2,Wet_Biomas_m2,Moisture_m2,B_Crested_quadrat,B_Native_quadrat,B_Grass_quadrat,B_Dead_quadrat,B_Forbs_quadrat,B_Shrub_quadrat,B_Total_quadrat,Wet_Biomas_quadrat,Moisture_quadrat
C11,W2,NA,1,Crested,"50°39'09.334""","108°02'51.020""",660.13,"Raining, Windy",45442,83 cm,40,32,NA,NA,0,5,55,0,0,0,0,NA,NA,0,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C12,E1,C12E1,1,Crested,"50°40'30.391""","107°57'55.455""",609.43,NA,45442,98 cm,20,40,NA,NA,10,5,65,0,0,0,0,NA,NA,0,1.04,123,NA,123,99,0,129,351,689,338,12.3,NA,12.3,9.9,NA,12.9,35.1,68.9,33.8
C12,E2,NA,1,Crested,"50°40'30.391""","107°57'55.455""",609.43,NA,45442,98 cm,40,40,NA,NA,2,10,38,0,5,0,0,NA,NA,5,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C12,N1,C12N1,1,Crested,"50°40'30.391""","107°57'55.455""",609.43,NA,45442,98 cm,35,40,NA,NA,0,10,55,0,0,0,0,NA,NA,0,1.55,162,NA,162,254,0,0,416,696,280,16.2,NA,16.2,25.4,NA,NA,41.6,69.6,28
C12,N2,NA,1,Crested,"50°40'30.391""","107°57'55.455""",609.43,NA,45442,98 cm,30,36,NA,NA,10,10,50,0,0,0,0,NA,NA,0,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C12,S1,C12S1,1,Crested,"50°40'30.391""","107°57'55.455""",609.43,NA,45442,98 cm,20,38,NA,NA,0,10,60,0,10,0,0,NA,NA,0,0.89,139,NA,139,121,0,0,260,529,269,13.9,NA,13.9,12.1,NA,NA,26,52.9,26.9
C12,S2,NA,1,Crested,"50°40'30.391""","107°57'55.455""",609.43,NA,45442,98 cm,30,42,NA,NA,5,10,45,0,10,0,0,NA,NA,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C12,W1,C12W1,1,Crested,"50°40'30.391""","107°57'55.455""",609.43,NA,45442,98 cm,25,35,NA,NA,0,5,60,0,10,0,0,NA,NA,0,1.45,137,NA,137,97,0,0,234,485,251,13.7,NA,13.7,9.7,NA,NA,23.4,48.5,25.1
C12,W2,NA,1,Crested,"50°40'30.391""","107°57'55.455""",609.43,NA,45442,98 cm,20,30,NA,NA,5,10,55,0,10,0,0,NA,NA,0,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C13,E1,C13E1,1,Crested,"50°41'29.540""","107°55'26.498""",554.61,"Cloudy, Windy",45442,66 cm,35,45,NA,NA,0,35,45,0,20,0,0,NA,NA,0,2.17,149,NA,149,182,0,0,331,689,358,14.9,NA,14.9,18.2,NA,NA,33.1,68.9,35.8
C13,E2,NA,1,Crested,"50°41'29.540""","107°55'26.498""",554.61,"Cloudy, Windy",45442,66 cm,15,43,NA,NA,0,15,43,0,15,0,0,NA,NA,0,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C13,N1,C13N1,1,Crested,"50°41'29.540""","107°55'26.498""",554.61,"Cloudy, Windy",45442,66 cm,30,45,NA,NA,0,30,45,0,10,0,0,NA,NA,0,0.96,119,NA,119,152,0,0,271,545,274,11.9,NA,11.9,15.2,NA,NA,27.1,54.5,27.4
C13,N2,NA,1,Crested,"50°41'29.540""","107°55'26.498""",554.61,"Cloudy, Windy",45442,66 cm,15,35,NA,NA,0,15,35,0,20,0,0,NA,NA,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C13,S1,C13S1,1,Crested,"50°41'29.540""","107°55'26.498""",554.61,"Cloudy, Windy",45442,66 cm,15,40,NA,NA,0,15,40,0,20,0,0,NA,NA,0,0.71,79,NA,79,199,0,0,278,454,176,7.9,NA,7.9,19.9,NA,NA,27.8,45.4,17.6
C13,S2,NA,1,Crested,"50°41'29.540""","107°55'26.498""",554.61,"Cloudy, Windy",45442,66 cm,40,50,NA,NA,0,40,50,0,0,0,0,NA,NA,0,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C13,W1,C13W1,1,Crested,"50°41'29.540""","107°55'26.498""",554.61,"Cloudy, Windy",45442,66 cm,20,42,NA,NA,0,20,42,0,10,0,0,NA,NA,0,1.36,129,NA,129,169,0,0,298,576,278,12.9,NA,12.9,16.9,NA,NA,29.8,57.6,27.8
C13,W2,NA,1,Crested,"50°41'29.540""","107°55'26.498""",554.61,"Cloudy, Windy",45442,66 cm,35,45,NA,NA,0,35,45,0,15,0,0,NA,NA,0,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C15,E1,C15E1,1,Crested,"50°41'49.599""","107°54'39.519""",561.13 m,"Cloudy, Windy",45442,71 cm,45,43,NA,NA,0,5,50,0,0,0,0,NA,NA,0,1.19,159,NA,159,232,0,0,391,761,370,15.9,NA,15.9,23.2,NA,NA,39.1,76.1,37
C15,E2,NA,1,Crested,"50°41'49.599""","107°54'39.519""",561.13 m,"Cloudy, Windy",45442,71 cm,30,38,NA,NA,5,5,60,0,0,0,0,NA,NA,0,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C15,N1,C15N1,1,Crested,"50°41'49.599""","107°54'39.519""",561.13 m,"Cloudy, Windy",45442,71 cm,45,45,NA,NA,2,10,43,0,0,0,0,NA,NA,0,1.96,229,NA,229,159,0,0,388,776,388,22.9,NA,22.9,15.9,NA,NA,38.8,77.6,38.8
C15,N2,NA,1,Crested,"50°41'49.599""","107°54'39.519""",561.13 m,"Cloudy, Windy",45442,71 cm,25,47,NA,NA,5,10,60,0,0,0,0,NA,NA,0,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C15,S1,C15S1,1,Crested,"50°41'49.599""","107°54'39.519""",561.13 m,"Cloudy, Windy",45442,71 cm,40,49,NA,NA,0,10,50,0,0,0,0,NA,NA,0,2.05,173,NA,173,121,0,0,294,681,387,17.3,NA,17.3,12.1,NA,NA,29.4,68.1,38.7
C15,S2,NA,1,Crested,"50°41'49.599""","107°54'39.519""",561.13 m,"Cloudy, Windy",45442,71 cm,35,48,NA,NA,0,10,45,0,10,0,0,NA,NA,0,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C15,W1,C15W1,1,Crested,"50°41'49.599""","107°54'39.519""",561.13 m,"Cloudy, Windy",45442,71 cm,30,32,NA,NA,0,0,70,0,0,0,0,NA,NA,0,2.26,114,NA,114,117,0,0,231,454,223,11.4,NA,11.4,11.7,NA,NA,23.1,45.4,22.3
C15,W2,NA,1,Crested,"50°41'49.599""","107°54'39.519""",561.13 m,"Cloudy, Windy",45442,71 cm,30,38,NA,NA,0,5,60,0,5,0,0,NA,NA,0,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19,E1,C19E1,1,Crested,"50°39'43.278""","107°59'46.573""",600.98,Sunny,45443,63 cm,35,25,NA,NA,0,10,55,0,0,0,0,NA,NA,0,1.04,72,NA,72,61,0,0,133,331,198,7.2,NA,7.2,6.1,NA,NA,13.3,33.1,19.8
C19,E2,NA,1,Crested,"50°39'43.278""","107°59'46.573""",600.98,Sunny,45443,63 cm,60,35,NA,NA,0,5,35,0,0,0,0,NA,NA,0,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19,N1,C19N1,1,Crested,"50°39'43.278""","107°59'46.573""",600.98,Sunny,45443,63 cm,35,30,NA,NA,2,15,48,0,0,0,0,NA,NA,0,1.14,72,NA,72,125,12,0,209,536,327,7.2,NA,7.2,12.5,1.2,NA,20.9,53.6,32.7
C19,N2,NA,1,Crested,"50°39'43.278""","107°59'46.573""",600.98,Sunny,45443,63 cm,45,33,NA,NA,2,5,48,0,0,0,0,NA,NA,0,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19,S1,C19S1,1,Crested,"50°39'43.278""","107°59'46.573""",600.98,Sunny,45443,63 cm,30,34,NA,NA,0,10,55,0,5,0,0,NA,NA,0,1.3,45,NA,45,104,0,0,149,289,140,4.5,NA,4.5,10.4,NA,NA,14.9,28.9,14
C19,S2,NA,1,Crested,"50°39'43.278""","107°59'46.573""",600.98,Sunny,45443,63 cm,25,32,NA,NA,0,5,70,0,0,0,0,NA,NA,0,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19,W1,C19W1,1,Crested,"50°39'43.278""","107°59'46.573""",600.98,Sunny,45443,63 cm,10,30,NA,NA,10,0,80,0,0,0,0,NA,NA,0,1.21,31,NA,31,270,13,0,314,782,468,3.1,NA,3.1,27,1.3,NA,31.4,78.2,46.8
C19,W2,NA,1,Crested,"50°39'43.278""","107°59'46.573""",600.98,Sunny,45443,63 cm,25,28,NA,NA,25,5,45,0,0,0,0,NA,NA,0,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C2,E1,C2E1,1,Crested,"50°38'48""","107°58'27""",560,Sunny,45441,3 m,40,40,NA,NA,0,0,15,0,0,45,0,42,NA,0,2.78,259,NA,259,404,0,184,847,1404,557,25.9,NA,25.9,40.4,NA,18.4,84.7,140.4,55.7
C2,E2,NA,1,Crested,"50°38'48""","107°58'27""",560,Sunny,45441,3 m,30,33,NA,NA,0,10,60,0,0,0,0,NA,NA,0,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C2,N1,C2N1,1,Crested,"50°38'48""","107°58'27""",560,Sunny,45441,3 m,60,43,NA,NA,0,5,35,0,0,0,0,NA,NA,0,1.58,223,NA,223,324,0,0,547,1054,507,22.3,NA,22.3,32.4,NA,NA,54.7,105.4,50.7
C2,N2,NA,1,Crested,"50°38'48""","107°58'27""",560,Sunny,45441,3 m,35,38,NA,NA,0,10,55,0,0,0,0,NA,NA,0,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C2,S1,C2S1,1,Crested,"50°38'48""","107°58'27""",560,Sunny,45441,3 m,60,43,NA,NA,0,20,20,0,0,0,0,NA,NA,0,3.81,142,NA,142,269,0,0,411,724,313,14.2,NA,14.2,26.9,NA,NA,41.1,72.4,31.3
C2,S2,NA,1,Crested,"50°38'48""","107°58'27""",560,Sunny,45441,3 m,60,34,NA,NA,0,10,30,0,0,0,0,NA,NA,0,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C2,W1,C2W1,1,Crested,"50°38'48""","107°58'27""",560,Sunny,45441,3 m,40,34,NA,NA,0,10,50,0,0,0,0,NA,NA,0,1.31,127,NA,127,174,0,0,301,567,266,12.7,NA,12.7,17.4,NA,NA,30.1,56.7,26.6
C2,W2,NA,1,Crested,"50°38'48""","107°58'27""",560,Sunny,45441,3 m,30,45,NA,NA,0,15,55,0,0,0,0,NA,NA,0,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C20,E1,C20E1,1,Crested,"50°37'24.130""","107°56'39.180""",683.77,"Partly Cludy, Windy",45443,55 cm,55,50,NA,NA,5,15,25,0,0,0,0,NA,NA,0,1.78,149,NA,149,311,6,0,466,894,428,14.9,NA,14.9,31.1,0.6,NA,46.6,89.4,42.8
C20,E2,NA,1,Crested,"50°37'24.130""","107°56'39.180""",683.77,"Partly Cludy, Windy",45443,55 cm,25,48,NA,NA,15,20,40,0,0,0,0,NA,NA,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C20,N1,C20N1,1,Crested,"50°37'24.130""","107°56'39.180""",683.77,"Partly Cludy, Windy",45443,55 cm,40,37,NA,NA,0,15,45,0,0,0,0,NA,NA,0,1.56,91,NA,91,194,0,0,285,552,267,9.1,NA,9.1,19.4,NA,NA,28.5,55.2,26.7
C20,N2,NA,1,Crested,"50°37'24.130""","107°56'39.180""",683.77,"Partly Cludy, Windy",45443,55 cm,30,38,NA,NA,10,15,45,0,0,0,0,NA,NA,0,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C20,S1,C20S1,1,Crested,"50°37'24.130""","107°56'39.180""",683.77,"Partly Cludy, Windy",45443,55 cm,30,48,NA,NA,0,20,50,0,0,0,0,NA,NA,0,2.09,166,NA,166,399,0,0,565,1028,463,16.6,NA,16.6,39.9,NA,NA,56.5,102.8,46.3
C20,S2,NA,1,Crested,"50°37'24.130""","107°56'39.180""",683.77,"Partly Cludy, Windy",45443,55 cm,65,40,NA,NA,0,15,20,0,0,0,0,NA,NA,0,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C20,W1,C20W1,1,Crested,"50°37'24.130""","107°56'39.180""",683.77,"Partly Cludy, Windy",45443,55 cm,35,42,NA,NA,0,20,45,0,0,0,0,NA,NA,0,1.74,136,NA,136,244,5,0,385,736,351,13.6,NA,13.6,24.4,0.5,NA,38.5,73.6,35.1
C20,W2,NA,1,Crested,"50°37'24.130""","107°56'39.180""",683.77,"Partly Cludy, Windy",45443,55 cm,60,42,NA,NA,0,10,30,0,0,0,0,NA,NA,0,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C3,E1,C3E1,1,Crested,50°39',107°59',NA,Sunny,45441,3.5 m,50,39,NA,NA,0,10,40,0,0,0,0,NA,NA,0,1.93,151,NA,151,261,0,0,412,753,341,15.1,NA,15.1,26.1,NA,NA,41.2,75.3,34.1
C3,E2,NA,1,Crested,50°39',107°59',NA,Sunny,45441,3.5 m,55,42,NA,NA,0,10,35,0,0,0,0,NA,NA,0,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C3,N1,C3N1,1,Crested,50°39',107°59',NA,Sunny,45441,3.5 m,55,42,NA,NA,0,15,30,0,0,0,0,NA,NA,0,0.84,109,NA,109,332,0,0,441,708,267,10.9,NA,10.9,33.2,NA,NA,44.1,70.8,26.7
C3,N2,NA,1,Crested,50°39',107°59',NA,Sunny,45441,3.5 m,70,48,NA,NA,0,10,20,0,0,0,0,NA,NA,0,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C3,S1,C3S1,1,Crested,50°39',107°59',NA,Sunny,45441,3.5 m,50,43,NA,NA,0,10,40,0,0,0,0,NA,NA,0,2.8,109,NA,109,272,0,0,381,601,220,10.9,NA,10.9,27.2,NA,NA,38.1,60.1,22
C3,S2,NA,1,Crested,50°39',107°59',NA,Sunny,45441,3.5 m,45,38,NA,NA,0,5,50,0,0,0,0,NA,NA,0,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C3,W1,C3W1,1,Crested,50°39',107°59',NA,Sunny,45441,3.5 m,40,45,NA,NA,0,15,45,0,0,0,0,NA,NA,0,1.68,152,NA,152,357,0,0,509,827,318,15.2,NA,15.2,35.7,NA,NA,50.9,82.7,31.8
C3,W2,NA,1,Crested,50°39',107°59',NA,Sunny,45441,3.5 m,35,36,NA,NA,0,5,60,0,0,0,0,NA,NA,0,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C4,E1,C4E1,1,Crested,"50°38'42.897""","107°59'03.929""",547.79,Partly Cloudy,45441,63 cm,15,30,NA,NA,0,5,80,0,0,0,0,NA,NA,0,0.61,56,NA,56,139,0,0,195,306,111,5.6,NA,5.6,13.9,NA,NA,19.5,30.6,11.1
C4,E2,NA,1,Crested,"50°38'42.897""","107°59'03.929""",547.79,Partly Cloudy,45441,63 cm,50,40,NA,NA,0,10,40,0,0,0,0,NA,NA,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C4,N1,C4N1,1,Crested,"50°38'42.897""","107°59'03.929""",547.79,Partly Cloudy,45441,63 cm,40,45,NA,NA,0,15,45,0,0,0,0,NA,NA,0,1.7,179,NA,179,145,0,0,324,636,312,17.9,NA,17.9,14.5,NA,NA,32.4,63.6,31.2
C4,N2,NA,1,Crested,"50°38'42.897""","107°59'03.929""",547.79,Partly Cloudy,45441,63 cm,20,37,NA,NA,0,10,70,0,0,0,0,NA,NA,0,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C4,S1,C4S1,1,Crested,"50°38'42.897""","107°59'03.929""",547.79,Partly Cloudy,45441,63 cm,25,35,NA,NA,0,15,60,0,0,0,0,NA,NA,0,1.34,119,NA,119,153,0,0,272,478,206,11.9,NA,11.9,15.3,NA,NA,27.2,47.8,20.6
C4,S2,NA,1,Crested,"50°38'42.897""","107°59'03.929""",547.79,Partly Cloudy,45441,63 cm,30,36,NA,NA,0,5,65,0,0,0,0,NA,NA,0,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C4,W1,C4W1,1,Crested,"50°38'42.897""","107°59'03.929""",547.79,Partly Cloudy,45441,63 cm,45,38,NA,NA,0,5,50,0,0,0,0,NA,NA,0,1.21,84,NA,84,109,0,0,193,238,45,8.4,NA,8.4,10.9,NA,NA,19.3,23.8,4.5
C4,W2,NA,1,Crested,"50°38'42.897""","107°59'03.929""",547.79,Partly Cloudy,45441,63 cm,55,50,NA,NA,0,10,35,0,0,0,0,NA,NA,0,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C5,E1,C5E1,1,Crested,"50°38'43.158""","107°59'12.034""",545.23,Partly Cloudy,45441,65 cm,50,34,NA,NA,5,10,30,0,5,0,0,NA,NA,0,1.15,144,NA,144,122,3,0,269,505,236,14.04,NA,14.4,12.2,0.3,NA,26.9,50.5,23.6
C5,E2,NA,1,Crested,"50°38'43.158""","107°59'12.034""",545.23,Partly Cloudy,45441,65 cm,40,42,NA,NA,0,15,40,0,5,0,0,NA,NA,0,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C5,N1,C5N1,1,Crested,"50°38'43.158""","107°59'12.034""",545.23,Partly Cloudy,45441,65 cm,40,43,NA,NA,0,10,45,0,5,0,0,NA,NA,0,1.74,122,NA,122,114,0,0,236,441,205,12.2,NA,12.2,11.4,NA,NA,23.6,44.1,20.5
C5,N2,NA,1,Crested,"50°38'43.158""","107°59'12.034""",545.23,Partly Cloudy,45441,65 cm,35,34,NA,NA,0,10,55,0,0,0,0,NA,NA,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C5,S1,C5S1,1,Crested,"50°38'43.158""","107°59'12.034""",545.23,Partly Cloudy,45441,65 cm,45,40,NA,NA,0,20,35,0,0,0,0,NA,NA,0,1.86,239,NA,239,309,0,0,548,1013,465,23.9,NA,23.9,30.9,NA,NA,54.8,101.3,46.5
C5,S2,NA,1,Crested,"50°38'43.158""","107°59'12.034""",545.23,Partly Cloudy,45441,65 cm,40,40,NA,NA,0,10,45,0,5,0,0,NA,NA,0,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C5,W1,C5W1,1,Crested,"50°38'43.158""","107°59'12.034""",545.23,Partly Cloudy,45441,65 cm,50,45,NA,NA,0,10,40,0,0,0,0,NA,NA,0,2.41,194,NA,194,359,0,0,553,949,396,19.4,NA,19.4,35.9,NA,NA,55.3,94.9,39.6
C5,W2,NA,1,Crested,"50°38'43.158""","107°59'12.034""",545.23,Partly Cloudy,45441,65 cm,35,40,NA,NA,0,10,55,0,0,0,0,NA,NA,0,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6,E1,C6E1,1,Crested,"50°38'45.257""","107°59'42.893""",545.01,Partly Cloudy,45441,73 cm,40,46,NA,NA,35,10,15,0,0,0,0,NA,NA,0,1.7,110,NA,110,255,0,77,442,1071,629,6.5,4.5,11,25.5,NA,7.7,44.2,107.1,62.9
C6,E2,NA,1,Crested,"50°38'45.257""","107°59'42.893""",545.01,Partly Cloudy,45441,73 cm,40,43,NA,NA,0,15,30,0,0,15,0,31,NA,0,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6,N1,C6N1,1,Crested,"50°38'45.257""","107°59'42.893""",545.01,Partly Cloudy,45441,73 cm,50,50,NA,NA,10,15,25,0,0,0,0,NA,NA,0,1.44,130,NA,130,231,23,0,384,793,409,12.1,0.9,13,23.1,2.3,NA,38.4,79.3,40.9
C6,N2,NA,1,Crested,"50°38'45.257""","107°59'42.893""",545.01,Partly Cloudy,45441,73 cm,45,28,NA,NA,0,35,0,0,0,20,0,32,NA,0,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6,S1,C6S1,1,Crested,"50°38'45.257""","107°59'42.893""",545.01,Partly Cloudy,45441,73 cm,55,40,NA,NA,0,10,35,0,0,0,0,NA,NA,0,2.4,209,NA,209,189,0,0,398,921,523,20.9,NA,20.9,18.9,NA,NA,39.8,92.1,52.3
C6,S2,NA,1,Crested,"50°38'45.257""","107°59'42.893""",545.01,Partly Cloudy,45441,73 cm,45,43,NA,NA,0,5,50,0,0,0,0,NA,NA,0,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
